gamma,alpha,agent,mean_infected,mean_allowed,timestamp
0.1,1.0,classroom_0,0.7671232876712328,3.4246575342465753,20250630154401
0.1,1.0,classroom_1,1.3287671232876712,3.4246575342465753,20250630154401
0.2,1.0,classroom_0,2.0,27.397260273972602,20250630154401
0.2,1.0,classroom_1,2.6027397260273974,28.08219178082192,20250630154401
0.3,1.0,classroom_0,4.684931506849315,53.42465753424658,20250630154401
0.3,1.0,classroom_1,5.328767123287672,54.10958904109589,20250630154401
0.4,1.0,classroom_0,8.479452054794521,67.8082191780822,20250630154401
0.4,1.0,classroom_1,9.04109589041096,67.8082191780822,20250630154401
0.5,1.0,classroom_0,17.356164383561644,86.98630136986301,20250630154401
0.5,1.0,classroom_1,17.424657534246574,86.3013698630137,20250630154401
0.6,1.0,classroom_0,25.10958904109589,100.0,20250630154401
0.6,1.0,classroom_1,25.863013698630137,100.0,20250630154401
